id,pop,esalc_190_avg,esalc_160_avg,esalc_150_avg,esalc_140_avg,esalc_130_avg,esalc_40_avg,esalc_11_avg,wdpa_dist_avg,coastline_dist_avg,inland_water_dist_avg,waterbodies_dist_avg,road_intr_dist_avg,highway_dist_avg,elevation_avg,nightlights_avg,built_v_avg,built_s_avg,dens,lon,lat
7957,1207,27.925546717897156,7.956108831873025,33.902807203389834,31.56642757110026,0.30308361321953103,0.06972880857972295,0.5822723397438775,241.55688020683712,47.175708309393855,2.468258492530882,2.220879304617926,2.8969708327348465,0.6405951925407569,686.5355501292732,0.007890418013496256,31.265095338983052,12.752298190175237,0.3467394426888825,107.67063766,15.89050115
7958,6891,4.245018465681162,9.06132787427792,27.235425525513477,3.158737163029525,4.397590999578787,2.38550431492699,-0.9603664804637355,287.9615292041078,19.59522549943838,0.37416172639702344,0.33538254234695924,2.711161269456033,0.6080763771537027,14.95369915356226,0.9556253259387034,898.8601572528884,323.33983873555843,4.422978177150193,108.16122606,15.83038024
7959,7799,0.9662640115489131,4.399759912302372,7.533948863636364,4.044911839179842,2.1142402498147232,4.560888478878459,-0.319511467854496,312.538685770751,0.7905992349617095,0.5133035411005434,0.7258727303606719,0.7920434763309041,0.3809786709872159,8.516312067687746,3.0484467638339923,2250.0045454545457,666.9902173913043,6.165217391304348,108.39864169,15.84392096
7960,8881,7.447004772020105,5.2771791975825755,25.793518504667304,4.259644548079224,4.1193112546373865,1.5099148674979057,-0.5518707669825574,284.08709310674965,23.35680012865007,0.6412865404537159,0.41101199853585746,2.607633409002513,1.5798226480223792,36.417065581618,0.433185524436034,488.0189085686932,180.56622486835806,2.1256582096696985,108.13076886,15.80716005
7961,10546,1.5027885437011719,3.2407493591308594,8.76179680457482,2.029483208289513,1.4915949014516978,2.004594949575571,-0.4349561104407677,309.86649263822113,1.3740871136005108,0.6643437605637771,0.867215083195613,0.6934422713059646,0.2504783777090219,8.640824538010817,2.8312765268179088,1660.2962740384614,576.6227839543269,6.337740384615385,108.37219068,15.84304008
7962,3782,11.062676098061933,2.418447465175374,20.944074876237625,8.013990744154203,2.2564639920607754,-0.1521729621380938,0.702490604674663,279.55492942911314,27.866504502843902,0.9787670173267327,0.3558611647817042,2.4727574652412048,1.6975530186828522,104.28149357488941,0.14354080126263957,222.52011796924373,91.68427427849169,0.7967137139245839,108.10070555,15.76495996
7963,12565,1.455295192605198,8.100550484735974,15.378127578382838,5.646794425536304,5.634674092409241,6.429200830239274,-0.5087980465527021,302.4438943894389,5.2116020781765675,0.4083888088515883,0.28908185801490305,1.6182027382425743,0.9009584332456683,4.624533635004125,2.6149744417801157,2136.545709570957,558.2369224422442,8.293729372937294,108.29717857,15.85162972
7964,10305,7.467925699680975,9.52795642401392,24.083860208816706,4.221559599767981,1.8827961861948956,-0.24061582348462876,0.6950940762761021,288.28320765661255,19.286789443155453,1.7756383909150233,0.867612621900377,4.810558204031323,3.6665857018561483,222.14388051044082,0.22281542289008122,238.4157047563805,79.66556699535963,1.195475638051044,108.18506110,15.77184922
7965,5130,6.096293242685564,4.295074407303051,22.289939449567395,7.958062065972222,5.393032609005009,3.8329673447461294,-0.7361311782253245,280.1031136156648,27.237448770491802,0.6944690141521517,0.2443697847738075,3.005702173340733,0.6575828788493283,12.921712239583334,0.4604625041801856,755.7082764116576,302.3383993624772,4.672131147540983,108.08936609,15.81341443
7966,7241,1.625064592760986,6.798793438353825,11.6624589096653,2.220555484403461,4.670361239184881,4.025496908441484,-0.3787659191694416,304.3281534608379,3.1953305103739753,0.21243805876629382,0.2345828697329662,1.043850702449055,0.3057950824119137,4.407846475125227,2.2837665606500455,1131.190004553734,427.39930555555554,6.59471766848816,108.32304082,15.82889346
